Coursename,CRN,Department,CourseID,Section,Level,Credits,Prerequisites,timeslot,Day,Location,Term,Roomtype,Instructor,Capacity
Diversity of Life,92958,BIO,220,7,Undergraduate ,3,,2:20 pm - 3:40 pm,TR,Park Hall 315,Fall2019,Lecture,Christopher H  Chandler,30
T:Cancer Biology,93290,BIO,301,1,Undergraduate ,3,,9:10 am - 10:05 am,MWF,Wilber B7,Fall2019,Lecture,Adam Spencer  Hoffman,30
T:Extremophiles,94260,BIO,301,2,Undergraduate ,3,,12:40 pm - 1:35 pm,MWF,Shineman Center 172,Fall2019,Lecture,Samuel C  McCarthy,30
Cellular Physiology,93289,BIO,309,3,Undergraduate ,3,,10:20 am - 11:15 am,MWF,Park Hall 313,Fall2019,Lecture,Samuel C  McCarthy,30
Microbiology,91557,BIO,310,4,Undergraduate ,3,,12:40 pm - 1:35 pm,MWF,Shineman Center 174,Fall2019,Lecture,Peter   Newell,30
Microbiology Lab,91558,BIO,310,5,Undergraduate ,3,,2:20 pm - 5:20 pm,T,Shineman Center 212,Fall2019,Laboratory,Peter   Newell,30
Microbiology Lab,91559,BIO,310,6,Undergraduate ,3,,8:00 am - 11:00 am,R,Shineman Center 212,Fall2019,Laboratory,Peter   Newell,30
Microbiology Lab,92766,BIO,310,7,Undergraduate ,3,,12:45 pm - 3:45 pm,R,Shineman Center 212,Fall2019,Laboratory,Peter   Newell,30
Genetics,90408,BIO,315,1,Undergraduate ,3,,11:10 am - 12:30 pm,TR,Shineman Center 122,Fall2019,Lecture,Adam Spencer  Hoffman,30
Laboratory in Genetics,90723,BIO,316,2,Undergraduate ,3,,1:50 pm - 4:50 pm,M,Shineman Center 208,Fall2019,Laboratory,Nicholas M  Sard,30
Laboratory in Genetics,90837,BIO,316,3,Undergraduate ,3,,5:45 pm - 8:45 pm,R,Shineman Center 208,Fall2019,Laboratory,Samuel C  McCarthy,30
Laboratory in Genetics,90838,BIO,316,4,Undergraduate ,3,,2:20 pm - 5:20 pm,T,Shineman Center 208,Fall2019,Laboratory,Poongodi   Geetha-Loganathan,30
Laboratory in Genetics,90839,BIO,316,5,Undergraduate ,3,,2:20 pm - 5:20 pm,R,Shineman Center 208,Fall2019,Laboratory,Susan   Hammerly,30
Laboratory in Genetics,90840,BIO,316,6,Undergraduate ,3,,5:45 pm - 8:45 pm,T,Shineman Center 208,Fall2019,Laboratory,Samuel C  McCarthy,30
Laboratory in Genetics,91306,BIO,316,7,Undergraduate ,3,,1:50 pm - 4:50 pm,W,Shineman Center 208,Fall2019,Laboratory,Adam Spencer  Hoffman,30
Introductory Ecology,91174,BIO,320,1,Undergraduate ,3,,11:30 am - 12:25 pm,MWF,Park Hall 315,Fall2019,Lecture,C. Eric  Hellquist,30
Introductory Ecology Lab,91313,BIO,320,2,Undergraduate ,3,,2:20 pm - 5:20 pm,R,Rice Creek 119,Fall2019,Laboratory,C. Eric  Hellquist,30
Introductory Ecology Lab,91715,BIO,320,3,Undergraduate ,3,,1:50 pm - 4:50 pm,W,Rice Creek 119,Fall2019,Laboratory,C. Eric  Hellquist,30
Introductory Ecology Lab,94522,BIO,320,4,Undergraduate ,3,,9:35 am - 12:35 pm,T,Rice Creek 119,Fall2019,Laboratory,C. Eric  Hellquist,30
Behavioral Biology,94031,BIO,325,5,Undergraduate ,3,,9:35 am - 10:55 am,TR,Rich Hall 223,Fall2019,Lecture,Daniel T  Baldassarre,30
Behavioral Biology Lab,94030,BIO,325,6,Undergraduate ,3,,9:10 am - 12:10 pm,F,Rice Creek 119,Fall2019,Laboratory,Daniel T  Baldassarre,30
The Plant Kingdom,90908,BIO,340,7,Undergraduate ,3,,9:35 am - 10:55 am,TR,Shineman Center 172,Fall2019,Lecture,Jinyan   Guo,30
The Plant Kingdom Lab,92963,BIO,340,1,Undergraduate ,3,,2:20 pm - 5:20 pm,R,Shineman Center 301,Fall2019,Laboratory,Jinyan   Guo,30
The Plant Kingdom Lab,93552,BIO,340,2,Undergraduate ,3,,9:10 am - 12:10 pm,F,Shineman Center 301,Fall2019,Laboratory,Jinyan   Guo,30
Great Lakes Environ. Issues,94029,BIO,363,3,Undergraduate ,3,,8:00 am - 9:20 am,TR,Shineman Center 175,Fall2019,Lecture,Nicholas M  Sard,30
The Animal Kingdom,91562,BIO,370,4,Undergraduate ,3,,12:45 pm - 2:05 pm,TR,Shineman Center 174,Fall2019,Lecture,Andrew   McElwain,30
The Animal Kingdom Lab,91563,BIO,370,5,Undergraduate ,3,,6:00 pm - 9:00 pm,W,Shineman Center 305,Fall2019,Laboratory,Andrew   McElwain,30
The Animal Kingdom Lab,93558,BIO,370,6,Undergraduate ,3,,1:50 pm - 4:50 pm,W,Shineman Center 305,Fall2019,Laboratory,Michael J  McDonald,30
Evolution,91179,BIO,425,7,Undergraduate ,3,,5:30 pm - 6:55 pm,MW,Shineman Center 185,Fall2019,Lecture,Jinyan   Guo,30
Evolution,91181,BIO,425,1,Undergraduate ,3,,3:00 pm - 4:25 pm,MW,Sheldon Hall 336,Fall2019,Lecture,Daniel T  Baldassarre,30
Evolution,91003,BIO,425,2,Undergraduate ,3,,11:10 am - 12:30 pm,TR,Park Hall 204,Fall2019,Lecture,Michael J  McDonald,30
Evolution,91842,BIO,425,3,Undergraduate ,3,,2:20 pm - 3:40 pm,TR,Shineman Center 178,Fall2019,Lecture,Peter A  Rosenbaum,30
Evolution,93877,BIO,425,4,Undergraduate ,3,,12:45 pm - 2:05 pm,TR,Shineman Center 196,Fall2019,Lecture,Daniel T  Baldassarre,30
