Coursename,CRN,Department,CourseID,Section,Level,Credits,Prerequisites,timeslot,Day,Location,Term,Roomtype,Instructor,Capacity
Communications Systems Lab,13654,ECE,454,7,Undergraduate ,3,,2:20 pm - 5:00 pm,T,Shineman Center 408,Spring2020,Laboratory,Mario   Bkassiny,30
Mechatronics,14347,ECE,464,1,Undergraduate ,3,,9:35 am - 12:20 pm,TR,Shineman Center 406,Spring2020,Lecture,Mustafa   Ayad,30
Computer Architecture,11772,ECE,475,2,Undergraduate ,3,,9:10 am - 11:00 am,MWF,Shineman Center 408,Spring2020,Studio,Marianne   Hromalik,30
Principles of Microeconomics,10214,ECO,101,3,Undergraduate ,3,,8:00 am - 8:55 am,MWF,Mahar Hall 108,Spring2020,Lecture,Glenn   Graham,30
Principles of Microeconomics,10213,ECO,101,4,Undergraduate ,3,,9:10 am - 10:05 am,MWF,Mahar Hall 122,Spring2020,Lecture,Mihai   Paraschiv,30
Principles of Microeconomics,10207,ECO,101,5,Undergraduate ,3,,2:20 pm - 3:40 pm,TR,Mahar Hall 102,Spring2020,Lecture,Said   Atri,30
Principles of Microeconomics,10215,ECO,101,6,Undergraduate ,3,,9:35 am - 10:55 am,TR,Mahar Hall 217,Spring2020,Lecture,Javad   Nosratabadi,30
Principles of Microeconomics,11504,ECO,101,7,Undergraduate ,3,,11:10 am - 12:30 pm,TR,Lanigan Hall 104,Spring2020,Lecture,Javad   Nosratabadi,30
Principles of Microeconomics,11505,ECO,101,1,Undergraduate ,3,,12:45 pm - 2:05 pm,TR,Lanigan Hall 103,Spring2020,Lecture,Craig   Benedict,30
Prin of Macroeconomics,10211,ECO,200,2,Undergraduate ,3,,11:10 am - 12:30 pm,TR,Lanigan Hall 101,Spring2020,Lecture,Elizabeth A  Schmitt,30
Prin of Macroeconomics,10948,ECO,200,3,Undergraduate ,3,,12:40 pm - 1:35 pm,MWF,Lanigan Hall 103,Spring2020,Lecture,Brian   Dempsey,30
Prin of Macroeconomics,11502,ECO,200,4,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Spring2020,Lecture,Elizabeth A  Schmitt,30
Intermediate Macro Theory,10210,ECO,300,5,Undergraduate ,3,,9:10 am - 10:05 am,MWF,Mahar Hall 102,Spring2020,Lecture,Glenn   Graham,30
Intermediate Micro Theory,11500,ECO,301,6,Undergraduate ,3,,1:50 pm - 2:45 pm,MWF,Mahar Hall 122,Spring2020,Lecture,Mihai   Paraschiv,30
Managerial Economics,11087,ECO,302,7,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Spring2020,Lecture,Said   Atri,30
Introduction To Econometrics,11052,ECO,312,1,Undergraduate ,3,,10:20 am - 11:15 am,MWF,Mahar Hall 208,Spring2020,Lecture,John   Kane,30
